,Taxa de Cruzamento,Taxa de Mutação,Tamanho da População,Número de Gerações,"Melhor Aptidão 
(Média)","Melhor Aptidão 
(Desvio Padrão)","Aptidão Média 
(Média)","Aptidão Média 
(Desvio Padrão)"
,0.6,0.05,50,200,1458.0,0.0,-30267.244000000002,9393.074158136349
,0.6,0.05,100,100,1458.0,0.0,-29989.756,8449.893460827643
,1.0,0.05,100,100,1457.8,0.6324555320336759,-36392.516,10860.96570494253
,0.8,0.1,25,400,1457.4,1.3498971154211057,-49396.254166666666,28955.074553945746
,0.6,0.1,50,200,1457.4,1.3498971154211057,-41487.59,14092.614639190748
,1.0,0.1,25,400,1457.3,1.636391694484477,-47460.5,24938.62568929638
,0.6,0.1,100,100,1457.3,1.1595018087284057,-37496.161,11065.754174939355
,0.8,0.05,100,100,1457.2,1.6865480854231356,-33921.043,11293.17120880584
,1.0,0.1,50,200,1457.1,1.911950719959998,-34584.61,11678.01887268841
,0.8,0.1,50,200,1456.9,1.5238839267549948,-42042.046,9059.612770763562
,0.6,0.1,25,400,1456.5,2.718251071716682,-47113.025,27304.141518660952
,1.0,0.05,25,400,1456.5,3.1710495984067415,-32108.879166666666,18444.24591626182
,0.8,0.1,100,100,1456.4,2.913569784454954,-51806.892,16507.51481367656
,1.0,0.1,100,100,1456.0,2.494438257849294,-49753.64,10230.597254332495
,0.8,0.05,50,200,1455.4,3.6270588023294517,-30656.564,13004.887972440038
,1.0,0.05,50,200,1455.0,2.8674417556808756,-31629.81,8670.046177907268
,0.8,0.05,25,400,1454.8,4.211096452627668,-33062.004166666666,14607.513699678146
,1.0,0.01,100,100,1454.8,2.440400695696417,-9993.373,4009.7850009807257
,0.6,0.05,25,400,1454.0,3.681787005729087,-31093.95,13196.197895942356
,0.6,0.01,100,100,1453.1,3.956710193526379,-12598.255000000001,3632.6070588773505
,1.0,0.01,50,200,1450.3,4.001388647846034,-9328.422,5179.275364084997
,0.8,0.01,100,100,1449.3,3.020301677353145,-9189.436,4965.910852793607
,0.6,0.01,50,200,1448.9,2.5582111805799856,-9300.268,3968.150392313499
,0.8,0.01,50,200,1448.2,5.072803301265814,-11264.154,5391.179237697651
,0.6,0.01,25,400,1446.5,4.301162633521313,-7249.908333333333,7160.575404247022
,1.0,0.01,25,400,1445.3,6.8645627844912465,-9419.608333333334,7583.030239242044
,0.8,0.01,25,400,1444.8,3.823901439919996,-8180.974999999999,7214.649338854861