,Alfa,Beta,Q,Taxa de Atualização,Taxa de Evaporação,Melhor Aptidão - Média,Melhor Aptidão - Desvio Padrão,Aptidão Média - Média,Aptidão Média - Desvio Padrão
30,1.0,5.0,200,0.1,0.005,21484.2,687.665,26122.934,415.295
22,1.0,2.5,500,0.1,0.005,21510.6,426.474,24749.615,379.9
106,5.0,5.0,500,0.1,0.005,21513.6,578.567,24013.725,402.198
27,1.0,5.0,100,0.1,0.5,21593.9,625.422,24815.589,766.018
6,1.0,1.0,200,0.1,0.005,21611.7,546.742,24503.727,361.145
34,1.0,5.0,500,0.1,0.005,21613.4,473.317,25851.966,302.347
98,5.0,5.0,100,0.1,0.005,21631.1,456.081,24712.84,323.12
14,1.0,2.5,100,0.1,0.005,21638.9,502.707,25608.94,250.275
11,1.0,1.0,500,0.1,0.5,21662.2,643.735,22229.021,630.319
94,5.0,2.5,500,0.1,0.005,21663.5,480.478,23701.475,338.292
18,1.0,2.5,200,0.1,0.005,21694.8,557.348,25222.181,445.294
31,1.0,5.0,200,0.1,0.5,21708.7,402.755,24543.288,335.633
66,2.5,5.0,200,0.1,0.005,21731.4,475.497,25110.606,270.683
62,2.5,5.0,100,0.1,0.005,21737.0,699.482,25476.401,392.782
26,1.0,5.0,100,0.1,0.005,21740.3,905.943,26282.675,303.988
71,2.5,5.0,500,0.1,0.5,21741.2,390.271,22860.659,428.4
86,5.0,2.5,100,0.1,0.005,21794.9,526.518,24475.626,365.814
67,2.5,5.0,200,0.1,0.5,21799.6,422.558,23320.954,442.711
19,1.0,2.5,200,0.1,0.5,21833.5,534.671,23637.191,538.201
7,1.0,1.0,200,0.1,0.5,21842.5,438.157,22763.331,472.129
58,2.5,2.5,500,0.1,0.005,21870.7,696.828,24249.22,536.591
74,5.0,1.0,100,0.1,0.005,21880.6,610.612,24060.123,399.718
23,1.0,2.5,500,0.1,0.5,21881.4,515.365,23253.697,465.017
75,5.0,1.0,100,0.1,0.5,21885.3,462.667,22298.856,474.231
90,5.0,2.5,200,0.1,0.005,21902.6,601.567,24277.631,403.42
54,2.5,2.5,200,0.1,0.005,21911.3,444.02,24587.538,237.938
50,2.5,2.5,100,0.1,0.005,21920.3,577.036,24861.427,258.025
42,2.5,1.0,200,0.1,0.005,21924.7,457.9,24145.672,363.799
87,5.0,2.5,100,0.1,0.5,21927.1,478.404,22744.924,405.931
102,5.0,5.0,200,0.1,0.005,21936.0,422.422,24581.966,276.561
103,5.0,5.0,200,0.1,0.5,21936.5,474.776,22873.874,420.153
35,1.0,5.0,500,0.1,0.5,21942.9,389.11,24369.386,368.415
3,1.0,1.0,100,0.1,0.5,21970.0,729.113,23148.073,679.537
70,2.5,5.0,500,0.1,0.005,21980.5,588.112,24810.01,449.732
51,2.5,2.5,100,0.1,0.5,21980.9,507.213,23083.938,531.678
91,5.0,2.5,200,0.1,0.5,21994.0,603.96,22536.352,630.274
39,2.5,1.0,100,0.1,0.5,22016.5,590.775,22697.421,616.489
15,1.0,2.5,100,0.1,0.5,22016.8,699.262,23929.099,594.382
38,2.5,1.0,100,0.1,0.005,22074.8,623.46,24511.896,498.191
63,2.5,5.0,100,0.1,0.5,22105.5,432.785,23799.738,379.013
43,2.5,1.0,200,0.1,0.5,22113.4,424.499,22575.407,460.863
107,5.0,5.0,500,0.1,0.5,22116.4,471.402,22739.677,495.616
82,5.0,1.0,500,0.1,0.005,22117.1,618.223,23588.118,532.56
79,5.0,1.0,200,0.1,0.5,22127.2,586.47,22343.772,593.654
10,1.0,1.0,500,0.1,0.005,22131.5,637.884,24431.355,454.95
99,5.0,5.0,100,0.1,0.5,22141.5,484.293,23313.834,483.08
46,2.5,1.0,500,0.1,0.005,22187.2,525.436,24030.257,354.242
78,5.0,1.0,200,0.1,0.005,22210.7,439.452,24006.062,334.153
2,1.0,1.0,100,0.1,0.005,22222.3,453.518,25058.829,268.874
55,2.5,2.5,200,0.1,0.5,22238.1,410.732,23143.692,407.106
95,5.0,2.5,500,0.1,0.5,22264.3,629.218,22549.477,648.66
59,2.5,2.5,500,0.1,0.5,22278.3,462.775,22908.708,522.596
47,2.5,1.0,500,0.1,0.5,22565.8,505.814,22756.995,534.782
24,1.0,5.0,100,0.001,0.005,22620.9,210.751,24557.792,277.212
28,1.0,5.0,200,0.001,0.005,23255.3,71.396,24353.499,101.927
32,1.0,5.0,500,0.001,0.005,23591.0,496.478,24327.923,123.111
83,5.0,1.0,500,0.1,0.5,24090.1,356.697,24109.241,353.865
5,1.0,1.0,200,0.001,0.5,24993.0,0.0,24993.0,0.0
4,1.0,1.0,200,0.001,0.005,24993.0,0.0,24993.0,0.0
25,1.0,5.0,100,0.001,0.5,24993.0,0.0,24993.0,0.0
16,1.0,2.5,200,0.001,0.005,24993.0,0.0,24993.0,0.0
17,1.0,2.5,200,0.001,0.5,24993.0,0.0,24993.0,0.0
21,1.0,2.5,500,0.001,0.5,24993.0,0.0,24993.0,0.0
20,1.0,2.5,500,0.001,0.005,24993.0,0.0,24993.0,0.0
60,2.5,5.0,100,0.001,0.005,24993.0,0.0,24993.0,0.0
61,2.5,5.0,100,0.001,0.5,24993.0,0.0,24993.0,0.0
57,2.5,2.5,500,0.001,0.5,24993.0,0.0,24993.0,0.0
56,2.5,2.5,500,0.001,0.005,24993.0,0.0,24993.0,0.0
48,2.5,2.5,100,0.001,0.005,24993.0,0.0,24993.0,0.0
49,2.5,2.5,100,0.001,0.5,24993.0,0.0,24993.0,0.0
53,2.5,2.5,200,0.001,0.5,24993.0,0.0,24993.0,0.0
52,2.5,2.5,200,0.001,0.005,24993.0,0.0,24993.0,0.0
40,2.5,1.0,200,0.001,0.005,24993.0,0.0,24993.0,0.0
36,2.5,1.0,100,0.001,0.005,24993.0,0.0,24993.0,0.0
33,1.0,5.0,500,0.001,0.5,24993.0,0.0,24993.0,0.0
37,2.5,1.0,100,0.001,0.5,24993.0,0.0,24993.0,0.0
45,2.5,1.0,500,0.001,0.5,24993.0,0.0,24993.0,0.0
41,2.5,1.0,200,0.001,0.5,24993.0,0.0,24993.0,0.0
44,2.5,1.0,500,0.001,0.005,24993.0,0.0,24993.0,0.0
29,1.0,5.0,200,0.001,0.5,24993.0,0.0,24993.0,0.0
12,1.0,2.5,100,0.001,0.005,24993.0,0.0,24993.0,0.0
13,1.0,2.5,100,0.001,0.5,24993.0,0.0,24993.0,0.0
9,1.0,1.0,500,0.001,0.5,24993.0,0.0,24993.0,0.0
8,1.0,1.0,500,0.001,0.005,24993.0,0.0,24993.0,0.0
0,1.0,1.0,100,0.001,0.005,24993.0,0.0,24993.0,0.0
1,1.0,1.0,100,0.001,0.5,24993.0,0.0,24993.0,0.0
76,5.0,1.0,200,0.001,0.005,24993.0,0.0,24993.0,0.0
77,5.0,1.0,200,0.001,0.5,24993.0,0.0,24993.0,0.0
84,5.0,2.5,100,0.001,0.005,24993.0,0.0,24993.0,0.0
85,5.0,2.5,100,0.001,0.5,24993.0,0.0,24993.0,0.0
73,5.0,1.0,100,0.001,0.5,24993.0,0.0,24993.0,0.0
72,5.0,1.0,100,0.001,0.005,24993.0,0.0,24993.0,0.0
64,2.5,5.0,200,0.001,0.005,24993.0,0.0,24993.0,0.0
65,2.5,5.0,200,0.001,0.5,24993.0,0.0,24993.0,0.0
69,2.5,5.0,500,0.001,0.5,24993.0,0.0,24993.0,0.0
68,2.5,5.0,500,0.001,0.005,24993.0,0.0,24993.0,0.0
92,5.0,2.5,500,0.001,0.005,24993.0,0.0,24993.0,0.0
93,5.0,2.5,500,0.001,0.5,24993.0,0.0,24993.0,0.0
89,5.0,2.5,200,0.001,0.5,24993.0,0.0,24993.0,0.0
88,5.0,2.5,200,0.001,0.005,24993.0,0.0,24993.0,0.0
80,5.0,1.0,500,0.001,0.005,24993.0,0.0,24993.0,0.0
81,5.0,1.0,500,0.001,0.5,24993.0,0.0,24993.0,0.0
96,5.0,5.0,100,0.001,0.005,24993.0,0.0,24993.0,0.0
97,5.0,5.0,100,0.001,0.5,24993.0,0.0,24993.0,0.0
100,5.0,5.0,200,0.001,0.005,24993.0,0.0,24993.0,0.0
101,5.0,5.0,200,0.001,0.5,24993.0,0.0,24993.0,0.0
105,5.0,5.0,500,0.001,0.5,24993.0,0.0,24993.0,0.0
104,5.0,5.0,500,0.001,0.005,24993.0,0.0,24993.0,0.0
